DateTime,AddedIPs,RemovedIPs
1527371766,0,0
1527374407,95,135
1527377766,0,0
1527380408,90,74
1527383046,0,0
1527386165,0,73
1527388566,0,0
1527391208,127,136
1527393366,0,0
1527395529,0,0
1527397446,127,170
1527399608,0,0
1527403446,124,87
1527409203,53,47
1527417844,117,89
1527421682,109,105
1527429363,120,96
1527435124,57,66
1527437042,69,67
1527440882,77,68
1527444722,82,66
1527452402,108,114
1527456244,75,79
1527462723,67,76
1527464884,125,176
1527472563,98,125
1527478323,63,76
1527484082,145,171
1527492003,158,105
1527495843,59,57
1527502563,115,115
1527506403,70,63
1527510244,80,53
1527516015,73,64
1527517923,64,66
1527523683,132,105
1527529443,136,125
1527537124,129,143
1527541686,82,89
1527547443,104,181
1527553204,89,95
1527560882,116,124
1527564723,149,170
1527572404,151,137
1527579123,76,66
1527582963,70,68
1527586803,94,98
1527594482,73,51
1527598323,64,71
1527600243,81,60
1527606963,124,112
1527613445,81,68
1527615364,128,133
1527623043,160,103
1527628803,64,76
1527632642,63,95
1527638422,141,171
1527644164,50,84
1527649923,137,151
1527655683,152,164
1527661444,90,79
1527665283,78,74
1527669124,67,56
1527672964,67,66
1527676804,74,51
1527680884,69,60
1527682814,69,93
1527686644,144,108
1527694323,67,63
1527696244,90,67
1527704163,126,129
1527709922,139,121
1527718563,121,136
1527724322,140,174
1527732243,107,173
1527738004,73,77
1527741842,151,160
1527751443,154,128
1527753363,74,78
1527760083,70,61
1527762004,64,62
1527768723,114,81
1527776402,120,98
1527782644,118,121
1527786484,75,67
1527792243,166,147
1527801844,124,121
1527805684,70,91
1527809764,186,198
1527817443,167,134
1527827044,143,168
1527830882,69,84
1527834722,100,78
1527838564,68,53
1527840483,82,54
1527846243,67,67
1527850082,61,73
1527852003,68,55
1527855842,79,76
1527859683,64,64
1527865443,131,107
1527873363,132,113
1527879123,122,124
1527884882,84,70
1527889682,104,134
1527896405,125,155
1527904083,58,81
1527906004,81,64
1527911764,143,180
1527914888,0,0
1527917051,0,0
1527923768,200,168
1527926420,0,0
1527929051,126,114
1527931208,0,0
1527934573,82,69
1527937219,0,0
1527939367,0,0
1527942034,132,102
1527944167,0,0
1527946567,0,0
1527948489,130,105
1527950648,0,0
1527953048,66,65
1527955448,0,0
1527958088,0,0
1527960487,103,116
1527962889,0,0
1527965287,64,60
1527967687,0,0
1527970088,127,117
1527972246,0,0
1527974168,0,0
1527976569,71,70
1527978968,0,0
1527981368,90,139
1527983526,0,0
1527985927,0,0
1527988326,113,157
1527990727,0,0
1527993143,71,66
1527995528,0,0
1527997927,143,195
1528000328,0,0
1528002728,0,0
1528007763,141,118
1528013525,103,96
1528017362,72,55
1528021202,75,50
1528026963,83,63
1528028883,132,104
1528038482,124,108
1528046403,142,102
1528050244,70,93
1528056021,120,121
1528061763,112,167
1528067525,81,101
1528071363,108,88
1528075204,49,83
1528081221,129,159
1528086965,99,103
1528088883,79,95
1528094644,95,71
1528096562,75,80
1528102323,89,62
1528104243,62,68
1528110026,119,100
1528117683,128,88
1528123443,125,115
1528128244,75,61
1528135924,138,137
1528143603,142,113
1528149364,83,71
1528151283,67,103
1528157044,66,124
1528158963,84,85
1528162803,112,137
1528170483,141,168
1528180083,152,148
1528183924,61,61
1528189683,133,92
1528195444,42,72
1528199285,81,42
1528205043,127,118
1528208885,65,63
1528213683,69,65
1528217523,105,110
1528223283,86,65
1528227123,152,105
1528235044,73,96
1528238883,73,78
1528240804,70,110
1528246564,127,162
1528252323,66,78
1528258083,145,181
1528263844,83,82
1528268163,150,111
1528273924,126,99
1528283524,114,105
1528291204,130,124
1528295044,70,60
1528300824,58,65
1528304642,143,122
1528309716,94,84
1528318763,141,133
1528322732,138,136
1528325291,0,0
1528330053,120,206
1528333250,69,74
1528339203,134,172
1528344963,103,115
1528350723,180,133
1528358420,115,119
1528364164,80,50
1528368004,57,51
1528371843,126,110
1528381443,116,112
1528385524,67,67
1528391283,123,114
1528397043,75,77
1528398963,81,72
1528404722,130,122
1528412424,113,160
1528418164,92,89
1528422004,61,93
1528427763,121,159
1528431603,96,107
1528435443,73,79
1528441443,132,108
1528445282,74,55
1528451285,56,73
1528453204,67,49
1528457043,70,47
1528462818,97,93
1528469525,79,58
1528471443,72,60
1528478162,122,134
1528483923,74,78
1528487763,147,120
1528494483,109,141
1528502882,146,147
1528506724,52,86
1528512483,110,145
1528520163,90,102
1528522084,130,123
1528527843,72,49
1528535524,133,103
1528543204,113,108
1528547064,60,56
1528552821,119,108
